Category,ItemName,ItemHdr,XpressfeedMnemonic,CRSP Long Name,Description/Full Compustat Name,ItemNameType
BalanceSheetFinancialAnnual,LCUACU_FN,LCUACU_FN,LCUACU_FN,Loans/Claims/Advances - Customer FN,LCUACU_FN: Loans/Claims/Advances - Customer Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LIF,LIF,LIF,Life Insurance in Force,LIF: Life Insurance in Force (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LLOML,LLOML,LLOML,LDC Loans Outstanding - Medium & Long-Term,LLOML: LDC Loans Outstanding - Medium and Long-Term (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LLOO,LLOO,LLOO,LDC Loans Outstanding - Other,LLOO: LDC Loans Outstanding - Other (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LLOT,LLOT,LLOT,LDC Loans Outstanding - Total,LLOT: LDC Loans Outstanding - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LRV,LRV,LRV,Legal Reserves,LRV: Legal Reserves (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LS,LS,LS,Liabilities - Other - Sundry,LS: Liabilities - Other - Sundry (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,MSVRV,MSVRV,MSVRV,Mandatory Securities Valuation Reserve (Statutory),MSVRV: Mandatory Securities Valuation Reserve (Statutory) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,MTL,MTL,MTL,Loans From Securities Finance Companies for Margin Transactions,MTL: Loans From Securities Finance Companies for Margin Transactions (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,NAT,NAT,NAT,Nonadmitted Assets - Total (Statutory),NAT: Nonadmitted Assets - Total (Statutory) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,NPANL,NPANL,NPANL,Nonperforming Assets - Nonaccrual Loans,NPANL: Nonperforming Assets - Nonaccrual Loans (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,NPAORE,NPAORE,NPAORE,Nonperforming Assets - Other Real Estate Owned,NPAORE: Nonperforming Assets - Other Real Estate Owned (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,NPAORE_DC,NPAORE_DC,NPAORE_DC,Nonperforming Assets - Other Real Estate Owned DC,NPAORE_DC: Nonperforming Assets - Other Real Estate Owned Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,NPARL,NPARL,NPARL,Nonperforming Assets - Restructured Loans,NPARL: Nonperforming Assets - Restructured Loans (Refer to your Compustat documentation for item definitions),AM
